iter	Passed	Remaining
856	2856	476
857	2858	473
858	2862	469
859	2864	466
860	2867	462
861	2870	459
862	2873	456
863	2875	452
864	2878	449
865	2881	445
866	2884	442
867	2887	439
868	2889	435
869	2892	432
870	2895	428
871	2900	425
872	2903	422
873	2907	419
874	2911	415
875	2914	412
876	2917	409
877	2920	405
878	2925	402
879	2928	399
880	2932	396
881	2936	392
882	2938	389
883	2941	385
884	2944	382
885	2947	379
886	2949	375
887	2952	372
888	2955	368
889	2957	365
890	2960	362
891	2963	358
892	2965	355
893	2968	351
894	2971	348
895	2976	345
896	2980	342
897	2984	338
898	2986	335
899	2989	332
900	2991	328
901	2995	325
902	2999	322
903	3003	318
904	3007	315
905	3010	312
906	3013	308
907	3015	305
908	3019	302
909	3022	298
910	3025	295
911	3027	292
912	3031	288
913	3034	285
914	3038	282
915	3040	278
916	3044	275
917	3047	272
918	3050	268
919	3052	265
920	3056	262
921	3058	258
922	3061	255
923	3064	252
924	3067	248
925	3070	245
926	3073	242
927	3075	238
928	3078	235
929	3082	232
930	3085	228
931	3087	225
932	3090	221
933	3093	218
934	3096	215
935	3099	211
936	3101	208
937	3104	205
938	3107	201
939	3109	198
940	3112	195
941	3115	191
942	3118	188
943	3121	185
944	3124	181
945	3127	178
946	3130	175
947	3133	171
948	3135	168
949	3139	165
950	3141	161
951	3145	158
952	3147	155
953	3150	151
954	3152	148
955	3156	145
956	3158	141
957	3160	138
958	3164	135
959	3167	131
960	3169	128
961	3172	125
962	3178	122
963	3181	118
964	3183	115
965	3186	112
966	3188	108
967	3191	105
968	3193	102
969	3196	98
970	3198	95
971	3201	92
972	3203	88
973	3206	85
974	3208	82
975	3211	78
976	3213	75
977	3216	72
978	3219	69
979	3222	65
980	3224	62
981	3227	59
982	3230	55
983	3232	52
984	3235	49
985	3237	45
986	3240	42
987	3242	39
988	3245	36
989	3248	32
990	3251	29
991	3254	26
992	3256	22
993	3259	19
994	3262	16
995	3265	13
996	3268	9
997	3271	6
998	3273	3
999	3276	0
